From Date,To Date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,BP,SR,TOT-RF,RF,Temp
01-01-2021 00:00,02-01-2021 00:00,331.77,463.06,200.24,85.79,176.31,137.75,3.58,0.4,4.19,None,None,,,,0.93,241.07,8.67,90.64,740.22,27.72,,None,28.32
02-01-2021 00:00,03-01-2021 00:00,309.03,411.61,112.95,12.4,70.18,126.62,9.18,0.35,12.35,None,None,,,,1.14,228.66,13.38,74.65,740.66,24.33,,1,28.94
03-01-2021 00:00,04-01-2021 00:00,118.87,153.16,60.38,8.95,39.43,101.31,8.7,4.66,12.66,None,None,,,,1.75,235.6,14.19,85.66,740.66,11.18,,7.65,28.87
04-01-2021 00:00,05-01-2021 00:00,64.76,89.16,81.24,19.31,58.98,82.28,7.54,3.01,14.6,None,None,,,,1.47,181.76,17.09,87.48,741.09,37.41,,1.62,29.79
05-01-2021 00:00,06-01-2021 00:00,59.7,81.73,53.44,10.91,37.34,79.23,8.57,3.1,14.48,None,None,,,,1.54,205.52,17.72,90.27,741.21,34.26,,2,28.64
06-01-2021 00:00,07-01-2021 00:00,105.68,155.62,74.71,22.46,58.04,90.02,9.12,4.85,8.85,None,None,,,,1.63,189.3,17.66,83,741.12,31.54,,1.83,27.25
07-01-2021 00:00,08-01-2021 00:00,128.99,185.08,33.29,4.06,21.06,81.16,6.76,4.66,11.54,None,None,,,,1.95,138.21,15.98,91.6,740.75,27.82,,None,28
08-01-2021 00:00,09-01-2021 00:00,142.04,251.64,51.56,13.14,38.13,54.89,15.12,1.6,10.36,None,None,,,,1.49,144.25,13.53,89.92,740.57,25.38,,1,27.58
09-01-2021 00:00,10-01-2021 00:00,145.01,251.68,45.97,5.05,28.58,71.69,11.68,1.37,12.86,None,None,,,,2.49,117.94,15.83,88.81,740.88,39.59,,None,28.37
10-01-2021 00:00,11-01-2021 00:00,121.49,212.44,30.84,3.16,19,79.28,3.33,0.96,20.87,None,None,,,,3.3,110.74,12.1,85.32,740.4,53.68,,None,28.25
11-01-2021 00:00,12-01-2021 00:00,135.08,228.48,44.42,5.75,28.32,76.65,5.26,1.56,23.62,None,None,,,,2.89,116.24,11.91,83.26,740.34,52.16,,None,28.88
12-01-2021 00:00,13-01-2021 00:00,177.36,276.11,59.56,16.28,44.94,84.79,3.23,1.96,18.53,None,None,,,,1.88,130.45,11.57,85.87,740.34,43.88,,None,28.75
13-01-2021 00:00,14-01-2021 00:00,237.22,392.5,85.03,31.14,70.29,75.27,6.86,2.63,22.37,None,None,,,,1.14,155.29,10.95,74.92,740.31,47.29,,1,28.35
14-01-2021 00:00,15-01-2021 00:00,269.48,421.92,123.54,49.9,106.31,75.58,7.02,3.62,18.27,None,None,,,,0.85,228.32,10.36,78.46,740.27,40.96,,1,28.07
