latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.75,77.5,217.0,0,GMT,GMT

current_weather_time,temperature (°C),windspeed (km/h),winddirection (°),weathercode (wmo code),is_day
2023-05-01T19:00,20.5,5.0,90.0,80,0

time,temperature_2m (°C),relativehumidity_2m (%),precipitation_probability (%),precipitation (mm),visibility (m),windspeed_180m (km/h),winddirection_180m (°)
2023-05-01T00:00,20.7,92,84,0.50,23700.00,15.1,115
2023-05-01T01:00,20.5,93,73,1.20,22880.00,12.6,117
2023-05-01T02:00,20.8,90,63,1.10,23660.00,14.0,116
2023-05-01T03:00,21.3,87,52,0.00,24140.00,10.3,119
2023-05-01T04:00,22.1,86,58,1.00,24140.00,10.1,107
2023-05-01T05:00,23.2,83,65,0.20,24140.00,10.3,119
2023-05-01T06:00,23.5,82,71,0.30,24140.00,7.2,117
2023-05-01T07:00,24.2,78,81,0.40,4560.00,9.1,124
2023-05-01T08:00,24.1,80,90,0.90,5180.00,11.2,123
2023-05-01T09:00,23.5,83,100,3.80,6480.00,16.7,109
2023-05-01T10:00,23.3,84,95,1.80,24140.00,15.6,109
2023-05-01T11:00,22.8,84,89,1.30,24140.00,17.9,99
2023-05-01T12:00,22.0,89,84,1.10,24140.00,14.8,87
2023-05-01T13:00,21.6,91,84,0.60,24140.00,18.5,98
2023-05-01T14:00,21.0,93,84,1.20,24140.00,21.9,110
2023-05-01T15:00,20.8,93,84,0.20,24140.00,19.3,117
2023-05-01T16:00,20.6,95,64,0.00,24140.00,19.7,118
2023-05-01T17:00,20.5,96,43,0.00,24140.00,20.1,119
2023-05-01T18:00,20.5,96,23,0.00,24140.00,18.9,121
2023-05-01T19:00,20.5,96,30,0.20,24140.00,18.1,121
2023-05-01T20:00,20.5,96,38,0.60,24140.00,17.1,132
2023-05-01T21:00,20.4,96,45,0.60,24140.00,13.8,131
2023-05-01T22:00,20.3,96,47,0.90,24140.00,14.2,126
2023-05-01T23:00,20.2,96,50,0.70,24140.00,13.4,117
2023-05-02T00:00,20.1,96,52,0.10,24140.00,16.4,109
2023-05-02T01:00,20.0,96,59,0.10,24140.00,17.0,122
2023-05-02T02:00,20.4,95,67,0.20,24140.00,15.1,130
2023-05-02T03:00,21.0,92,74,1.20,24140.00,11.9,125
2023-05-02T04:00,21.8,90,67,0.90,24140.00,10.6,118
2023-05-02T05:00,22.9,87,59,0.50,24140.00,13.5,115
2023-05-02T06:00,23.8,83,52,0.50,24140.00,15.4,123
2023-05-02T07:00,23.9,83,50,1.40,24140.00,12.3,128
2023-05-02T08:00,24.2,83,47,2.10,24140.00,9.2,129
2023-05-02T09:00,23.6,86,45,7.00,24140.00,15.3,109
2023-05-02T10:00,23.0,88,40,2.90,24140.00,14.1,105
2023-05-02T11:00,23.1,87,34,0.60,24140.00,15.1,108
2023-05-02T12:00,22.5,88,29,0.70,24140.00,17.0,103
2023-05-02T13:00,22.0,90,39,0.70,24140.00,15.7,106
2023-05-02T14:00,21.5,93,48,0.00,24140.00,17.0,107
2023-05-02T15:00,21.2,95,58,0.00,24140.00,19.7,114
2023-05-02T16:00,21.0,96,55,0.00,24140.00,19.8,117
2023-05-02T17:00,20.8,96,51,0.00,24140.00,21.5,121
2023-05-02T18:00,20.6,96,48,0.00,24140.00,21.3,124
2023-05-02T19:00,20.5,97,49,0.00,24140.00,18.6,134
2023-05-02T20:00,20.4,97,51,0.00,24140.00,16.9,142
2023-05-02T21:00,20.3,97,52,0.00,24140.00,17.2,143
2023-05-02T22:00,20.2,98,54,0.00,24140.00,15.0,150
2023-05-02T23:00,20.2,98,56,0.00,24140.00,10.5,142
2023-05-03T00:00,20.2,98,58,0.00,24140.00,10.2,132
2023-05-03T01:00,20.3,97,56,0.00,24140.00,10.7,135
2023-05-03T02:00,21.0,94,54,0.00,24140.00,7.7,143
2023-05-03T03:00,22.3,88,52,0.00,24140.00,9.7,138
2023-05-03T04:00,23.6,82,39,0.00,24140.00,7.3,147
2023-05-03T05:00,24.4,76,26,0.40,24140.00,3.6,127
2023-05-03T06:00,25.2,72,13,0.00,24140.00,3.6,45
2023-05-03T07:00,25.3,72,13,0.60,12400.00,2.3,321
2023-05-03T08:00,25.6,71,13,0.20,24140.00,2.7,337
2023-05-03T09:00,26.1,69,13,0.00,23360.00,5.0,360
2023-05-03T10:00,25.9,69,20,0.10,24140.00,7.9,3
2023-05-03T11:00,25.4,71,28,0.10,24140.00,6.5,19
2023-05-03T12:00,25.1,72,35,0.00,24140.00,6.6,9
2023-05-03T13:00,24.3,80,39,0.00,24140.00,8.4,10
2023-05-03T14:00,23.4,86,44,0.00,24140.00,9.0,23
2023-05-03T15:00,22.8,89,48,0.00,24140.00,10.7,42
2023-05-03T16:00,22.3,91,49,0.00,24140.00,11.8,52
2023-05-03T17:00,22.0,92,51,0.00,24140.00,9.0,74
2023-05-03T18:00,21.7,93,52,0.00,24140.00,9.5,99
2023-05-03T19:00,21.4,94,48,0.00,24140.00,10.4,104
2023-05-03T20:00,21.1,95,43,0.00,24140.00,10.7,110
2023-05-03T21:00,20.9,95,39,0.00,24140.00,9.2,121
2023-05-03T22:00,20.6,96,39,0.00,24140.00,7.1,120
2023-05-03T23:00,20.4,96,39,0.00,24140.00,4.7,113
2023-05-04T00:00,20.2,97,39,0.00,24140.00,4.0,85
2023-05-04T01:00,20.3,96,44,0.00,24140.00,3.2,63
2023-05-04T02:00,21.5,93,50,0.00,24140.00,4.6,51
2023-05-04T03:00,23.2,86,55,0.00,24140.00,6.4,63
2023-05-04T04:00,24.7,79,43,0.00,24140.00,3.3,84
2023-05-04T05:00,25.8,72,31,0.00,24140.00,2.3,342
2023-05-04T06:00,26.8,67,19,0.00,24140.00,3.9,338
2023-05-04T07:00,27.7,63,14,0.00,24140.00,4.7,337
2023-05-04T08:00,28.3,58,8,0.00,24140.00,7.8,326
